"hsn_sc_code","hsn_sc_desc"
"03048990","Other"
"03049100","Swordfish ( Xiphias gladius )"
"03049200","Toothfish ( Dissostichus spp.)"
"03049300","Tilapias (Oreochromis spp.),  catfish (Pangasius spp., Silurus spp Clarias spp., Ictalurus spp.),  carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus,  Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels  (Anguill"
"03049400","Alaska Pollack (Theragra chalcogramma)"
"03049500","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae,Moridae and Muraeno- lepididae, other than Alaska Pollack  (Theragra chalcogramma)"
"03049900","Other"
"0305    ","FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS; FLOURS, MEALS AND PELLETS, OF FISH FIT FOR HUMAN CONSUMPTION"
"03051000","Flours, meals and pellets, of fish fit for human consumption"
"03052000","Livers and roes of fish, dried, smoked, salted or in brine"
"03053100","Tilapias (Oreochromis spp.),  catfish (Pangasius spp., Silurus spp., Clarias spp.,Ictalurus spp.),carp (Cyprinus carpio,Carassius  carassius, Ctenopharyngodon  idellus, Hypophthalmichthys spp.,  Cirrhinus spp., Mylopharyngodon piceus),eels (Anguilla "
"03053200","Fish of the families Bregmacerotidae, uclichthyidae,  Gadidae, Macrouridae, Melanonidae,  Merlucciidae,  Moridae and Muraenolepididae"
"03053900","Other"
"03054100","Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo Salar) and Danube salmon (Hucho hucho)"
"03054200","Herrings (Clupea harengus, Clupea pallasii)"
"03054300","Trout (Salmo trutta,  Oncorhynchus mykiss, Oncorhynchus  clarkii  Oncorhynchus aguabonita, Oncorhynchus  gilae,Oncorhynchus apache and  Oncorhynchus  chrysogaster)"
"03054400","Tilapias (Oreochromis spp.),  catfish (Pangasius spp., Silurus spp., Clarias spp.,Ictalurus spp.),carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla s"
"03054900","Other"
"03055100","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
"030559  ","Other:"
"03055910","Mumbai Duck"
"03055920","Seer without head"
"03055930","Sprats"
"03055990","Other"
"03056100","Herrings (Clupea harengus, Clupea pallasii)"
"03056200","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
"03056300","Anchovies (Engraulis spp.)"
"03056400","Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp.,  Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius,  Ctenopharyngodon  idellus, Hypophthalmichthys spp.,  Cirrhinus spp.,  Mylopharyngodon piceus),  eels  (An"
"030569  ","Other:"
"03056910","Mumbai duck"
"03056920","Seer without head"
"03056930","Sprats"
"03056990","Other"
"03057100","Shark fins"
"03057200","Fish heads, tails and maws"
"03057900","Other"
"0306    ","CRUSTACEANS, WHETHER IN SHELL OR NOT, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED CRUSTACEANS, WHETHER IN SHELL OR NOT, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS; CRUSTACEANS, IN SHELL, COOKED BY STEAMING OR BY BO"
"03061100","Rock lobster and other sea craw fish (Palinurus spp., Panulirus spp., Jasus spp.)"
"030612  ","Lobsters (Homarus spp.):"
"03061210","Whole cooked"
"03061290","Other"
"03061400","Crabs"
"03061500","Norway lobsters (Nephrops norvegicus)"
"030616  ","Cold-water shrimps and prawns  (Pandalus spp., Crangon crangon):"
"03061610","Accelerated Freeze Dried(AFD)"
"03061690","Other"
"030617  ","Other shrimps and prawns :"
"03061711","Accelerated Freeze Dried(AFD)"
"03061719","Other"
"03061790","Other"
"03061900","Other, including flours, meals and pellets, of crustaceans, fit for human consumption"
"03062100","Rock lobster and other sea craw fish (Palinurus spp., Panulirus spp., Jasus spp.)"
"03062200","Lobsters (Homarus spp.)"
"03062400","Crabs"
"03062500","Norway lobsters  (Nephrops norvegicus)"
"03062600","Cold-water shrimps and prawns  (Pandalus spp., Crangon crangon)"
"030627  ","Other shrimps and prawns:"
"03062710","Powdered"
"03062720","Other"
"03062900","Other, including flours, meals and pellets, of crustaceans, fit for human consumption"
"0307    ","MOLLUSCS, WHETHER IN SHELL OR NOT, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN    BRINE; SMOKED MOLLUSCS, WHETHER IN SHELL OR NOT, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS; FLOURS, MEALS AND PELLETS OF MOLLUSCS, FIT FOR HUMAN "
"03071100","Live, fresh or chilled"
"03071900","Other"
"03072100","Live, fresh or chilled"
"03072900","Other"
"03073100","Live, fresh or chilled"
"030739  ","Other:"
"03073910","Clams, clam meat (bivalves-Victorita, spp., Mertrix spp. and Katalysia spp.)"
"03073990","Other"
"030741  ","Live, fresh and chilled:"
"03074110","Cuttle fish"
"03074120","Squid"
"030749  ","Other:"
"03074910","Squid tubes, frozen"
"03074920","Whole squids, frozen"
"03074930","Dried squids"
"03074990","Other"
"03075100","Live, fresh or chilled"
"03075900","Other"
"03076000","Snails, other than sea snails"
"03077100","Live, fresh or chilled"
"03077900","Other"
"03078100","Live, fresh or chilled"
"03078900","Other"
"03079100","Live, fresh or chilled"
"030799  ","Other:"
"03079900","Other"
"03079910","Sea shell flesh"
"03079920","Jelly fish (Rhopelina spp.), dried salted or frozen"
"03079990","Other"
"0308    ","AQUATIC INVERTEBRATES OTHER THAN CRUSTACEANS AND MOLLUSCS, LIVE,FRESH, CHILLED,  FROZEN, DRIED, SALTED OR IN BRINE; SMOKED AQUATIC INVERTEBRATES OTHER THAN CRUSTACEANS AND MOLLUSCS, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS; FLOURS, "
"03081100","Live, fresh or chilled"
"03081900","Other"
"03082100","Live, fresh or chilled"
"03082900","Other"
"030830  ","Jellyfish (Rhopilema spp.):"
"03083010","Live, fresh or chilled"
"03083020","Dried, salted or frozen"
"03089000","Other"
"0401    ","MILK AND CREAM, NOT CONCENTRATED NOR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
"04011000","Of a fat content, by weight, not exceeding 1%"
"04012000","Of a fat content, by weight, exceeding 1% but not exceeding 6%"
"04014000","Of a fat content, by weight, exceeding 6% but not exceeding 10%"
"04015000","Of a fat content, by weight, exceeding 10%"
"0402    ","MILK AND CREAM, CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
"040210  ","In powder, granules or other solid forms, of a fat content, by weight not exceeding 1.5%:"
"04021010","Skimmed Milk"
"04021020","Milk food for babies"
"04021090","Other"
"04022100","Not containing added sugar or other sweetening matter"
"040229  ","Other:"
"04022910","Whole milk"
"04022920","Milk for babies"
"04022990","Other"
"040291  ","Not containing added sugar or other sweetening matter:"
"04029110","Condensed milk"
"04029190","Other"
"040299  ","Other:"
"04029910","Whole Milk"
"04029920","Condensed Milk"
"04029990","Other"
"0403    ","BUTTERMILK, CURDLED MILK AND CREAM, YOGURT, KEPHIR AND OTHER FERMENTED OR ACIDIFIED MILK AND CREAM, WHETHER OR NOT CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR FLAVOURED OR CONTAINING ADDED FRUIT, NUTS OR COCOA"
"04031000","Yogurt"
"040390  ","Other:"
"04039010","Butter milk"
"04039090","Other"
"0404    ","WHEY, WHETHER OR NOT CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER; PRODUCTS CONSISTING OF NATURAL MILK CONSTITUENTS, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER, NOT ELSEWHERE SPECIFIED OR INCLUDED"
"040410  ","Whey and modified whey whether or not concentrated or containing added sugar or other sweetening matter:"
"04041010","Whey, concentrated, evaporated or condensed, liquid or semi-solid"
"04041020","Whey, dry, blocks and powdered"
"04041090","Other"
"04049000","Other"
"0405    ","BUTTER AND OTHER FATS AND OILS DERIVED FROM MILK; DAIRY SPREADS"
"04051000","Butter"
"04052000","Dairy Spreads"
"040590  ","Other:"
"04059010","Butter Oil"
"04059020","Ghee"
"04059090","Other"
"0406    ","CHEESE AND CURD"
"04061000","Fresh (unripened or uncured) cheese, including whey cheese and curd"
"04062000","Grated or powdered cheese, of all kinds"
"04063000","Processed Cheese not grated or powdered"
"04064000","Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti"
"04069000","Other cheese"
"0407    ","BIRDS' EGGS, IN SHELL, FRESH, PRESERVED OR COOKED"
"04071100","Of fowls of the species Gallus domesticus"
"040719  ","Other:"
"04071910","Of ducks"
"04071990","Other"
"04072100","Of fowls of the   species Gallus domesticus"
"04072900","Other"
"04079000","Other"
"0408    ","BIRDS EGGS, NOT IN SHELL, AND EGG YOLKS, FRESH, DRIED, COOKED BY STEAMING OR BY BOILING IN WATER, MOULDED, FROZEN OR OTHERWISE PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
"04081100","Dried"
"04081900","Other"
"04089100","Dried"
"04089900","Other"
"04090000","Natural Honey"
"0410    ","EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
"041000  ","Edible products of animal origin, not elsewhere specified or included:"
"04100010","Of Wild animals"
"04100020","Turtle eggs and Salanganes’ nests (“birds’ nests”)"
"04100090","Other"
"0501    ","HUMAN HAIR, UNWORKED, WHETHER OR NOT WASHED OR SCOURED; WASTE OF HUMAN HAIR"
"050100  ","Human hair, unworked, whether or not washed or scoured; waste of human hair:"
"05010010","Human hair unworked, whether or not washed or scoured"
"05010020","Waste of human hair"
"0502    ","PIGS, HOGS OR BOARS BRISTLES AND HAIR; BADGER HAIR AND OTHER BRUSH MAKING HAIR; WASTE OF SUCH BRISTLES OR HAIR"
"050210  ","Pigs', hogs' or boars' bristles and hair and waste thereof:"
"05021010","Pigs', hogs' or boars' bristles and hair"
"05021020","Waste of pigs' hogs' or boars' bristles and hair"
"050290  ","Other:"
"05029010","Badger hair and other brush making hair"
"05029020","Yak tail hair"
"05029090","Other"
"0504    ","GUTS, BLADDERS AND STOMACHS OF ANIMALS (OTHER THAN FISH), WHOLE AND PIECES THEREOF, FRESH, CHILLED, FROZEN, SALTED, IN BRINE, DRIED OR SMOKED"
"050400  ","Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked:"
"05040010","Guts of cattle for natural food casings"
"05040020","Guts of sheep and goats for natural food casings"
"05040031","Of wild animals"
"05040039","Other"
"05040041","Of wild animals"
"05040049","Other"
"05040051","Of wild animals"
"05040059","Other"
"0505    ","SKINS AND OTHER PARTS OF BIRDS, WITH THEIR FEATHERS OR DOWN, FEATHERS AND PARTS OF FEATHERS (WHETHER OR NOT WITH TRIMMED EDGES) AND DOWN, NOT FURTHER WORKED THAN CLEANED, DISINFECTED OR TREATED FOR PRESERVATION; POWDER AND WASTE OF FEATHERS OR PARTS "
"050510  ","Feathers of a kind used for stuffing; down:"
"05051010","Of wild birds"
"05051090","Other"
"050590  ","Other:"
"05059010","Peacock tail and wing feather (trimmed or not)"
"05059021","Of wild birds"
"05059029","Other"
"05059031","Of wild birds"
"05059039","Other"
"05059091","Of wild birds"
"05059099","Other"
"0506    ","BONES AND HORN-CORES, UNWORKED, DEFATTED, SIMPLY PREPARED (BUT NOT CUT TO SHAPE), TREATED WITH ACID OR DEGELATINISED POWDER AND WASTE OF THESE PRODUCTS"
"050610  ","Ossein and bones treated with acid:"
"05061011","Of wild animals"
"05061019","Other"
"05061021","Of wild animals"
"05061029","Other"
"05061031","Of wild animals"
"05061039","Other"
"05061041","Of wild animals"
"05061049","Other"
"050690  ","Other:"
"05069011","Of wild animals"
"05069019","Other"
"05069091","Of wild animals"
"05069099","Other"
